"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42354-9953","C","Ian","Ian Mahinmi","Mahinmi","21.74615478515625","13","5100","DEN@WAS","WAS","DEN","","","","",""
"42354-55060","SG","Bogdan","Bogdan Bogdanovic","Bogdanovic","25.39333292643229","30","5100","NO@SAC","SAC","NO","GTD","Ankle","","",""
"42354-16178","SF","Maurice","Maurice Harkless","Harkless","16.724999321831596","36","5100","MEM@LAC","LAC","MEM","","","","",""
"42354-16196","C","Dwight","Dwight Powell","Powell","20.677419354838708","31","5100","CHA@DAL","DAL","CHA","","","","",""
"42354-9729","PF","Paul","Paul Millsap","Millsap","25.030000813802083","30","5000","DEN@WAS","DEN","WAS","","","","",""
"42354-23670","SG","Marcus","Marcus Smart","Smart","26.318181818181817","22","5000","BOS@CHI","BOS","CHI","","","","",""
"42354-84704","SG","Kevin","Kevin Huerter","Huerter","21.408695386803668","23","5000","IND@ATL","ATL","IND","","","","",""
"42354-84719","PG","Aaron","Aaron Holiday","Holiday","20.2757568359375","33","5000","IND@ATL","IND","ATL","","","","",""
"42354-67312","C","Thomas","Thomas Bryant","Bryant","31.14444308810764","18","5000","DEN@WAS","WAS","DEN","O","Foot","","",""
"42354-23798","SG","Caris","Caris LeVert","LeVert","27.666666666666668","9","5000","TOR@BKN","BKN","TOR","GTD","Thumb","","",""
"42354-110349","PF","Rui","Rui Hachimura","Hachimura","25","25","5000","DEN@WAS","WAS","DEN","O","Groin","","",""
"42354-110353","PF","Brandon","Brandon Clarke","Clarke","24.50689697265625","29","5000","MEM@LAC","MEM","LAC","","","","",""
"42354-15846","SF","Tim","Tim Hardaway","Hardaway","20.481250762939453","32","5000","CHA@DAL","DAL","CHA","O","Hamstring","","",""
"42354-84668","SF","Troy","Troy Brown","Brown","22.54666748046875","30","4900","DEN@WAS","WAS","DEN","","","","",""
"42354-23800","SF","Glenn","Glenn Robinson","Robinson","22.7971435546875","35","4900","DET@GS","GS","DET","","","","",""
"42354-15691","C","Cody","Cody Zeller","Zeller","24.13235294117647","34","4900","CHA@DAL","CHA","DAL","","","","",""
"42354-9581","C","Marc","Marc Gasol","Gasol","24.214814362702548","27","4900","TOR@BKN","TOR","BKN","O","Hamstring","","",""
"42354-66046","SF","Luke","Luke Kennard","Kennard","26.53928484235491","28","4900","DET@GS","DET","GS","O","Knee","","",""
